"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -3.112661138,      0.1000462788,     -0.4525948165,       3.115743445
          0,           0,          77,      -3.112667065,      0.1000402663,     -0.4526004846,       3.115737373
          0,           0,          78,      -3.112678912,      0.1000282483,     -0.4526118137,       3.115725235
          0,           0,          79,      -3.112702578,       0.100004241,     -0.4526344435,        3.11570099
          0,           0,          80,      -3.112749804,     0.09995633965,     -0.4526795902,       3.115652619
          0,           0,          81,      -3.112843836,     0.09986098356,      -0.452769439,       3.115556344
          0,           0,          82,      -3.113030267,     0.09967200568,     -0.4529474106,       3.115365611
          0,           0,          83,      -3.113396963,     0.09930059673,     -0.4532968422,       3.114991002
          0,           0,          84,      -3.114108267,     0.09858120319,     -0.4539724466,       3.114266299
          0,           0,          85,      -3.115458894,      0.0972186004,     -0.4552483731,        3.11289651
          0,           0,          86,      -3.117958583,     0.09470595741,     -0.4575932691,       3.110378418
          0,           0,          87,      -3.122497334,     0.09016350352,     -0.4618339245,       3.105842371
          0,           0,          88,      -3.130724215,     0.08196225487,     -0.4695920485,        3.09767462
          0,           0,          89,      -3.145927712,     0.06684049279,     -0.4844026666,       3.082612075
          0,           0,          90,      -3.175097615,     0.03782898914,     -0.5145936088,       3.053583338
          0,           0,          91,      -3.230783475,    -0.01745655448,     -0.5761339866,       2.997964379
          0,           0,          92,      -3.293742154,    -0.07894059765,     -0.6455772503,       2.936534228
          0,           0,          93,      -3.337294815,     -0.1208164161,     -0.6797163095,       2.895814886
          0,           0,          94,      -3.337300969,     -0.1208227771,     -0.6797220444,       2.895808366
          0,           0,          95,      -3.337313267,      -0.120835489,     -0.6797335051,       2.895795337
          0,           0,          96,      -3.337337827,     -0.1208608716,     -0.6797563896,       2.895769324
          0,           0,          97,      -3.337386795,     -0.1209114743,     -0.6798020122,       2.895717469
          0,           0,          98,      -3.337484137,     -0.1210120393,     -0.6798926819,        2.89561444
          0,           0,          99,      -3.337676522,     -0.1212106894,      -0.680071794,       2.895411014
          0,           0,         100,       -3.33805266,     -0.1215986765,     -0.6804216698,       2.895014041
          0,           0,         101,      -3.338774359,     -0.1223416608,     -0.6810919587,       2.894255054
          0,           0,         102,       -3.34012016,     -0.1237223484,     -0.6823391809,       2.892848426
          0,           0,         103,      -3.342548171,     -0.1261997508,     -0.6845853565,       2.890334303
          0,           0,         104,      -3.346832688,     -0.1305421198,     -0.6885587316,       2.885945988
          0,           0,         105,      -3.354387965,     -0.1381570621,     -0.6956658869,       2.878269129
          0,           0,         106,      -3.367985669,       -0.15184184,     -0.7088476946,        2.86445266
          0,           0,         107,      -3.393965338,     -0.1781459644,     -0.7348701773,       2.837707567
          0,           0,         108,       -3.44673631,     -0.2325135253,     -0.7894131183,        2.78175476
          0,           0,         109,      -3.540734283,     -0.3328564742,     -0.8926751175,       2.676139858
          0,           0,         110,      -3.665829518,     -0.4746207149,      -1.048003469,        2.52071529
          0,           0,         111,      -3.802946706,     -0.6180375583,      -1.209082418,       2.374077792
          0,           0,         112,      -3.802955709,     -0.6180481764,      -1.209093708,       2.374065766
          0,           0,         113,      -3.802973695,     -0.6180693881,      -1.209116267,       2.374041745
          0,           0,         114,      -3.803009592,     -0.6181117142,      -1.209161293,       2.373993823
          0,           0,         115,       -3.80308109,     -0.6181959799,      -1.209250984,       2.373898455
          0,           0,         116,      -3.803222919,     -0.6183629922,      -1.209428951,       2.373709587
          0,           0,         117,      -3.803502069,     -0.6186911473,      -1.209779422,       2.373339075
          0,           0,         118,      -3.804043548,     -0.6193255228,      -1.210460007,       2.372625048
          0,           0,         119,      -3.805067623,     -0.6205173341,      -1.211750096,       2.371291716
          0,           0,         120,      -3.806932232,     -0.6226602445,      -1.214109374,       2.368921524
          0,           0,         121,      -3.810189224,      -0.626323356,      -1.218257708,       2.364948756
          0,           0,         122,      -3.815777042,     -0.6324207008,      -1.225387602,       2.358520492
          0,           0,         123,      -3.825589491,     -0.6428052292,      -1.237580746,       2.347893517
          0,           0,         124,      -3.843154754,     -0.6609173581,      -1.258161365,       2.329761523
          0,           0,         125,       -3.87279949,     -0.6902449433,      -1.292827135,       2.301277879
          0,           0,         126,      -3.919936985,     -0.7326934501,      -1.349981984,       2.263561323
          0,           0,         127,      -3.989020927,     -0.7843110541,      -1.428218435,       2.227161285
          0,           0,         128,       -4.04989507,     -0.8204672957,      -1.490417167,        2.21112351
          0,           0,         129,      -4.049899538,     -0.8204719102,      -1.490422331,       2.211118972
          0,           0,         130,      -4.049908464,     -0.8204811311,      -1.490432649,       2.211109904
          0,           0,         131,      -4.049926286,     -0.8204995404,      -1.490453242,       2.211091801
          0,           0,         132,      -4.049961807,     -0.8205362303,      -1.490494261,       2.211055729
          0,           0,         133,      -4.050032364,     -0.8206091038,      -1.490575645,       2.210984111
          0,           0,         134,      -4.050171599,     -0.8207528919,      -1.490735888,       2.210842905
          0,           0,         135,      -4.050443045,     -0.8210331297,       -1.49104696,       2.210568099
          0,           0,         136,      -4.050961208,     -0.8215677304,      -1.491636207,       2.210045251
          0,           0,         137,      -4.051919582,     -0.8225551511,       -1.49271208,       2.209083872
          0,           0,         138,      -4.053631149,     -0.8243141711,      -1.494596062,       2.207382216
          0,           0,         139,      -4.056634025,     -0.8273911724,      -1.497810698,       2.204425133
          0,           0,         140,      -4.061970211,     -0.8328608655,      -1.503345427,       2.199183272
          0,           0,         141,      -4.071577712,     -0.8428253417,      -1.513408145,       2.189576423
          0,           0,         142,      -4.088214744,     -0.8606847899,       -1.53334795,       2.171922837
          0,           0,         143,      -4.114365508,     -0.8902987101,      -1.570269237,       2.140941234
          0,           0,         144,      -4.146610549,     -0.9279282642,      -1.610576349,        2.09828463
          0,           0,         145,      -4.165648796,     -0.9464358959,      -1.631244587,        2.07398217
          0,           0,         146,      -4.165651916,     -0.9464390487,       -1.63124877,       2.073978543
          0,           0,         147,      -4.165658151,     -0.9464453483,      -1.631257123,       2.073971295
          0,           0,         148,      -4.165670592,     -0.9464579246,      -1.631273773,       2.073956827
          0,           0,         149,      -4.165695371,     -0.9464829859,      -1.631306851,       2.073928002
          0,           0,         150,      -4.165744512,     -0.9465327491,       -1.63137214,       2.073870788
          0,           0,         151,      -4.165841195,     -0.9466308822,      -1.631499395,       2.073758053
          0,           0,         152,      -4.166028577,      -0.946821909,      -1.631741652,       2.073538948
          0,           0,         153,      -4.166382361,     -0.9471853575,      -1.632184339,       2.073123339
          0,           0,         154,      -4.167024297,     -0.9478526505,      -1.632945281,       2.072364573
          0,           0,         155,      -4.168138026,     -0.9490261015,      -1.634172504,       2.071043476
          0,           0,         156,      -4.170026362,     -0.9510304026,       -1.63612496,       2.068822525
          0,           0,         157,      -4.173282964,     -0.9544729809,      -1.639456979,       2.065085396
          0,           0,         158,      -4.179076827,     -0.9605340029,      -1.645774154,       2.058629245
          0,           0,         159,      -4.189761295,      -0.971526347,      -1.658529527,       2.047112103
          0,           0,         160,      -4.208081473,     -0.9892834374,      -1.679937624,       2.028917555
          0,           0,         161,      -4.228391431,      -1.006462676,      -1.686877119,       2.012228453
          0,           0,         162,      -4.248357835,      -1.018655064,      -1.683991489,       2.001716901
          0,           0,         163,      -4.248361106,      -1.018657607,      -1.683995989,       2.001714157
          0,           0,         164,      -4.248367639,      -1.018662688,      -1.684004972,       2.001708676
          0,           0,         165,      -4.248380671,      -1.018672828,      -1.684022871,       2.001697741
          0,           0,         166,      -4.248406605,      -1.018693018,      -1.684058403,       2.001675982
          0,           0,         167,       -4.24845796,      -1.018733047,       -1.68412843,       2.001632894
          0,           0,         168,      -4.248558695,      -1.018811753,      -1.684264497,       2.001548379
          0,           0,         169,       -4.24875282,      -1.018964126,       -1.68452193,       2.001385537
          0,           0,         170,      -4.249115585,      -1.019251331,      -1.684986541,       2.001081362
          0,           0,         171,      -4.249763015,      -1.019771601,      -1.685766096,        2.00053926
          0,           0,         172,        -4.2508631,      -1.020675102,      -1.686971466,       1.999622007
          0,           0,         173,       -4.25270187,      -1.022220621,      -1.688785532,       1.998103423
          0,           0,         174,      -4.255892758,      -1.024943471,      -1.691740974,       1.995502055
          0,           0,         175,      -4.261771221,      -1.029983879,      -1.697270064,       1.990744545
          0,           0,         176,      -4.273365012,      -1.039829739,      -1.708739906,       1.981353062
          0,           0,         177,      -4.293155461,      -1.055983298,      -1.729487221,       1.965688884
          0,           0,         178,      -4.302003172,      -1.060655426,      -1.743801715,       1.960877582
          0,           0,         179,      -4.291298036,      -1.044748609,       -1.73567296,       1.977406061
          0,           0,         180,      -4.291299514,      -1.044749405,      -1.735675551,       1.977405285
          0,           0,         181,      -4.291302464,      -1.044750993,      -1.735680723,       1.977403737
          0,           0,         182,      -4.291308344,      -1.044754156,      -1.735691024,       1.977400659
          0,           0,         183,      -4.291320022,      -1.044760422,      -1.735711459,       1.977394567
          0,           0,         184,      -4.291343058,      -1.044772728,      -1.735751675,       1.977382642
          0,           0,         185,      -4.291387894,      -1.044796463,      -1.735829593,       1.977359786
          0,           0,         186,      -4.291472987,       -1.04484068,      -1.735976161,       1.977317762
          0,           0,         187,      -4.291627306,       -1.04491783,      -1.736237603,        1.97724649
          0,           0,         188,      -4.291887557,      -1.045037673,      -1.736666087,       1.977142848
          0,           0,         189,      -4.292287295,      -1.045191411,      -1.737300176,       1.977032039
          0,           0,         190,       -4.29285806,      -1.045340018,      -1.738196646,       1.976986825
          0,           0,         191,      -4.293675598,      -1.045447244,      -1.739603611,       1.977102621
          0,           0,         192,      -4.295064457,      -1.045699871,      -1.742385569,        1.97727607
          0,           0,         193,      -4.298513975,      -1.047407849,      -1.749027869,       1.976217314
          0,           0,         194,         -4.302961,      -1.050050665,      -1.758376104,       1.974034833
          0,           0,         195,      -4.279875808,      -1.029370521,      -1.737158338,       1.992733253
          0,           0,         196,      -4.245177174,     -0.9976963397,      -1.698137418,       2.021891232
          0,           0,         197,       -4.24517818,     -0.9976969788,      -1.698139174,       2.021890558
          0,           0,         198,      -4.245180186,     -0.9976982532,      -1.698142677,       2.021889215
          0,           0,         199,      -4.245184179,     -0.9977007863,      -1.698149644,       2.021886545
          0,           0,         200,      -4.245192084,      -0.997705791,      -1.698163431,       2.021881274
          0,           0,         201,      -4.245207579,     -0.9977155585,      -1.698190419,       2.021871001
          0,           0,         202,      -4.245237357,     -0.9977341618,      -1.698242154,       2.021851486
          0,           0,         203,      -4.245292412,     -0.9977679084,      -1.698337339,       2.021816296
          0,           0,         204,      -4.245386959,     -0.9978234088,      -1.698499317,       2.021759223
          0,           0,         205,      -4.245528669,     -0.9978977507,      -1.698738309,       2.021685804
          0,           0,         206,      -4.245695617,     -0.9979558192,      -1.699014061,       2.021639984
          0,           0,         207,      -4.245822441,     -0.9979113881,      -1.699222705,        2.02172954
          0,           0,         208,      -4.245853127,      -0.997667547,      -1.699267032,        2.02209475
          0,           0,         209,      -4.246030475,      -0.997394322,      -1.699321282,       2.022644485
          0,           0,         210,      -4.248201425,     -0.9987594503,      -1.701079865,       2.021853434
          0,           0,         211,      -4.254065325,      -1.003446582,       -1.70510679,       2.018163595
          0,           0,         212,      -4.237509159,     -0.9893505543,      -1.682199415,       2.031651291
          0,           0,         213,      -4.210748627,     -0.9671088904,      -1.652945822,       2.051080373
          0,           0,         214,      -4.210750272,     -0.9671103194,        -1.6529482,       2.051078832
          0,           0,         215,      -4.210753556,     -0.9671131723,      -1.652952947,       2.051075757
          0,           0,         216,        -4.2107601,     -0.9671188581,      -1.652962402,       2.051069628
          0,           0,         217,      -4.210773092,     -0.9671301498,      -1.652981158,       2.051057457
          0,           0,         218,      -4.210798696,     -0.9671524197,      -1.653018064,       2.051033458
          0,           0,         219,      -4.210848445,     -0.9671957514,       -1.65308955,       2.050986785
          0,           0,         220,      -4.210942528,     -0.9672779209,      -1.653223917,       2.050898364
          0,           0,         221,      -4.211111936,     -0.9674266418,      -1.653463056,       2.050738663
