"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -3.196936344,      0.0514761264,     -0.4884614144,       3.086817535
          0,           0,          77,      -3.196221018,     0.05209554068,     -0.4875966936,        3.08741608
          0,           0,          78,      -3.196442376,     0.05169764045,     -0.4877635997,       3.086925328
          0,           0,          79,      -3.202722459,     0.04511153521,     -0.4947465006,       3.080005173
          0,           0,          80,      -3.202098089,     0.04569450383,     -0.4940507956,       3.080578794
          0,           0,          81,      -3.201112511,     0.04659946204,     -0.4929641875,       3.081456117
          0,           0,          82,      -3.200195688,     0.04736317655,     -0.4919839669,       3.082135059
          0,           0,          83,      -3.202312489,     0.04496715015,     -0.4944180116,       3.079486957
          0,           0,          84,      -3.201693671,     0.04555117079,     -0.4937700461,       3.080055892
          0,           0,          85,      -3.200628717,     0.04654773319,     -0.4926675656,       3.081017642
          0,           0,          86,      -3.199194394,     0.04784994874,     -0.4912261991,       3.082235014
          0,           0,          87,      -3.199015269,     0.04778176485,      -0.491247036,       3.081955258
          0,           0,          88,       -3.20730921,     0.03904062064,     -0.5009185067,         3.0726961
          0,           0,          89,      -3.206216839,     0.04007243901,     -0.4998913682,       3.073691073
          0,           0,          90,      -3.204507581,     0.04166328916,     -0.4982995383,       3.075205804
          0,           0,          91,      -3.202950627,     0.04299403105,     -0.4969095642,       3.076378568
          0,           0,          92,      -3.206146517,     0.03938167758,     -0.5005621853,       3.072415064
          0,           0,          93,      -3.205171076,     0.04030439493,     -0.4996328857,       3.073301963
          0,           0,          94,      -3.203527648,      0.0418443071,     -0.4980735686,       3.074768904
          0,           0,          95,      -3.201450707,     0.04372153894,     -0.4961218604,        3.07649851
          0,           0,          96,      -3.201618645,     0.04317940138,     -0.4965278395,       3.075656699
          0,           0,          97,      -3.200746799,     0.04400630269,     -0.4957174183,       3.076446962
          0,           0,          98,      -3.199211116,     0.04545338711,     -0.4942912323,       3.077821462
          0,           0,          99,      -3.196960876,     0.04753144082,     -0.4922009309,        3.07975897
          0,           0,         100,      -3.195475264,     0.04869118707,     -0.4908981823,         3.0806553
          0,           0,         101,      -3.201294859,     0.04227907701,     -0.4978125576,       3.073738279
          0,           0,         102,      -3.199861513,     0.04363575183,     -0.4966272114,       3.075029944
          0,           0,         103,      -3.197613575,     0.04573321056,     -0.4947246112,       3.077012599
          0,           0,         104,      -3.195416817,     0.04764057943,     -0.4926977673,       3.078737734
          0,           0,         105,      -3.197840613,     0.04468585521,     -0.4949472392,       3.075470215
          0,           0,         106,      -3.196688781,     0.04577278091,     -0.4939316579,       3.076502488
          0,           0,         107,      -3.196555294,      0.0458996079,     -0.4938139583,       3.076623486
          0,           0,         108,      -3.196292495,     0.04614911287,      -0.493581833,       3.076861429
          0,           0,         109,      -3.195783549,     0.04663156804,     -0.4931306335,       3.077321151
          0,           0,         110,      -3.194831856,     0.04753069985,     -0.4922797213,       3.078176324
          0,           0,         111,      -3.193189333,     0.04906971285,     -0.4907794167,       3.079633488
          0,           0,         112,      -3.190894543,     0.05116345451,     -0.4885545449,       3.081585756
          0,           0,         113,      -3.189631082,     0.05204890816,     -0.4869826963,       3.082242816
          0,           0,         114,      -3.195692909,     0.04532224614,     -0.4933576283,       3.075138169
          0,           0,         115,      -3.194181292,      0.0467508491,     -0.4922366147,        3.07649163
          0,           0,         116,       -3.19200545,     0.04876123372,     -0.4904964848,       3.078391042
          0,           0,         117,      -3.190772318,     0.04966764628,     -0.4889508802,       3.079199696
          0,           0,         118,      -3.197449323,     0.04238708155,       -0.49331373,       3.071940203
          0,           0,         119,      -3.196642917,     0.04312559222,     -0.4926175673,       3.072633787
          0,           0,         120,      -3.195704793,     0.04392837161,     -0.4916862777,       3.073374256
